c,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1e,p2e,p3e,p4e,p5e,p6e,p7e,p8e,p9e,p10e,p11e
india,490.01477436968, 0.124501348964188, 0.271342155130882, 1.33145977196082, 58.476955195118, 44.9596916653284, 2923.75988167656, 84.4220031797013, 37.4881965633531, 11.2018628553075, 10.6650072265939],1207.35721835792, 0.933810357100132, 0.745291972954829, 3.87418306426826, 164.27071425647, 69.0802441289281,8678.44616464139, 22.3640534779479, 59.68863675176, 4.57842498331033, 53.112072630305
usa,544.8088235294117, 0.1613031836106031, 0.168198305208443, 0.5245098039215687, 30.95098039215686, 62.28186274509804, 1898.0973785998774, 80.88276651931785, 25.730392156862745, 5.044117647058823, 5.0245098039215685,372.5016551096119, 0.2240744236445323, 0.101846073397447, 1.4516343915623589, 50.6830070627344, 34.42128651223879, 3000.011082193864, 21.243980475197443, 23.810338375833794, 3.0715351443572847, 16.12920828974023
