SLNO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
54,14.0,0.857142857143,0.0,0,2,0,215.931640625,99.2976473674,1,10,0,http://aghr.cag.gov.in
55,824.0,0.0473300970874,0.0970873786408,3,45,18,1228.69042969,99.3492976754,10,19,5,http://agisac.gov.in
56,416.0,0.0480769230769,0.204326923077,4,20,40,1733.58203125,96.9004972994,26,12,6,http://agjh.cag.gov.in
57,123.0,0.154471544715,0.186991869919,6,3,25,41.650390625,43.1934349355,19,16,0,http://agjk.cag.gov.in
58,320.0,0.046875,0.140625,0,21,49,401.791992188,86.2892072867,74,10,1,http://agkar.cag.gov.in
59,664.0,0.0,0.123493975904,5,111,79,269.952148438,82.0345764404,27,5,1,http://agker.cag.gov.in
60,141.0,0.0354609929078,0.0496453900709,3,46,44,3575.09277344,91.7076561879,44,6,3,http://agmarknet.gov.in
61,651.0,0.00768049155146,13.2488479263,1,94,55,647.685546875,71.1234413401,48,14,127,http://agmc.gov.in
62,259.0,0.0,0.0540540540541,0,26,4,48.615234375,91.4848740509,7,9,0,http://agmegh.cag.gov.in
63,66.0,0.0,0.136363636364,0,182,13,106.265625,95.5521246875,98,9,2,http://agmpr.cag.gov.in
64,334.0,0.0718562874251,0.104790419162,0,6,57,1040.71289062,94.3835449333,17,12,0,http://agodisha.gov.in
65,0.0,0.0,0.104790419162,0,0,0,0.0,0.0,0,1,0,http://agprmp.gov.in
66,866.0,0.0842956120092,0.18129330254,0,35,106,156.23046875,75.8344793099,1,11,1,http://agpunjab.gov.in
67,0.0,0.0,0.18129330254,0,89,105,873.37890625,94.6170360266,56,18,3,http://agra.nic.in
68,243.0,0.0,0.135802469136,0,1,42,602.499023438,91.0945459909,72,13,2,http://agraj.cag.gov.in
69,149.0,0.228187919463,0.208053691275,0,79,20,2041.859375,99.6838149205,18,11,5,http://agri.and.nic.in
70,943.0,0.0254506892895,0.0498409331919,3,22,80,1092.90820312,90.9009434047,68,6,0,http://agri.gujarat.gov.in
71,789.0,0.0139416983523,0.105196451204,0,14,44,7639.33984375,96.6235757446,56,13,13,http://agri.puducherry.gov.in
72,400.0,0.075,0.1825,0,6,28,853.422851562,98.6538582569,76,11,9,http://agri.tripura.gov.in
73,456.0,0.0570175438596,0.166666666667,0,28,44,1646.01367188,96.8617956023,36,13,0,http://agricoop.gov.in
74,248.0,0.0,0.0725806451613,1,65,10,77.4404296875,76.1409349424,5,5,14,http://agriculture.mizoram.gov.in
75,658.0,0.0151975683891,0.0896656534954,2,14,34,521.748046875,88.3697381474,15,14,0,http://agriculture.uk.gov.in
76,426.0,0.901408450704,0.12676056338,1,36,31,784.379882812,97.5785758306,16,13,1,http://agriculturemizoram.nic.in
77,0.0,0.0,0.12676056338,0,0,0,0.0,0.0,0,1,0,http://agridept.cg.gov.in
78,724.0,0.0511049723757,0.116022099448,5,53,112,2697.74609375,93.5216825967,23,6,2,http://agriexchange.apeda.gov.in
79,236.0,0.00847457627119,0.114406779661,2,21,59,1637.3671875,98.7909921129,92,13,2,http://agriharyana.gov.in
80,21.0,0.0,0.0,0,11,2,2.1962890625,0.0,1,5,1,http://agrimarketing.telangana.gov.in
81,102.0,0.0,0.0392156862745,0,76,11,7.279296875,0.0,13,3,2,http://agringl.nic.in
82,536.0,0.0578358208955,0.10447761194,1,19,57,1125.80859375,95.3114428171,22,15,19,http://agrinnovateindia.co.in
83,199.0,0.0,0.0201005025126,1,126,48,6568.65429688,99.4694558763,47,20,0,http://agriodisha.nic.in
84,343.0,0.0,0.0524781341108,0,79,47,3601.38378906,96.6484779478,34,10,0,http://agripb.gov.in
85,0.0,0.0,0.0524781341108,0,0,0,0.0,0.0,0,1,0,http://agris.nic.in
86,8.0,0.0,5.0,0,5,27,6207.84375,55.4039811025,21,9,3,http://agrisnet.tg.nic.in
87,393.0,0.376590330789,0.381679389313,3,6,34,1554.77734375,98.9625599526,38,22,1,http://agrisnetodisha.ori.nic.in
88,495.0,0.0,0.149494949495,0,101,128,1415.50195312,97.4809482612,46,13,0,http://agritech.tnau.ac.in
89,253.0,0.169960474308,0.407114624506,5,9,32,1003.24023438,97.6855267794,14,12,10,http://agskm.cag.gov.in
90,405.0,0.0765432098765,0.185185185185,1,22,77,1740.81054688,96.6252475331,36,14,0,http://agua.cag.gov.in
91,24.0,1.0,0.0416666666667,0,0,0,1.3603515625,0.0,1,3,0,http://agup.cag.gov.in
92,342.0,0.0,0.198830409357,0,60,29,466.608398438,92.9364785363,17,12,8,http://agup.gov.in
93,224.0,0.0,1.03125,1,114,12,767.7109375,93.7756316973,27,14,16,http://agwb.cag.gov.in
94,264.0,0.00757575757576,0.234848484848,4,470,56,448.001953125,59.3222075448,33,10,17,http://ah.jharkhand.gov.in
95,52.0,0.0,0.0384615384615,6,8,14,543.01171875,93.2053938178,7,17,0,http://ahara.kar.nic.in
96,0.0,0.0,0.0384615384615,0,0,0,0.0,0.0,0,1,0,http://ahd.cg.gov.in
97,140.0,0.921428571429,0.935714285714,0,127,39,1031.32617188,89.9346449789,58,6,44,http://ahd.puducherry.gov.in
98,273.0,0.0622710622711,0.0512820512821,2,13,42,627.770507812,91.633493405,19,8,0,http://ahd.uk.gov.in
99,453.0,0.0,0.24944812362,0,159,42,23220.7353516,99.9521322895,31,10,8,http://ahec.org.in
