SL_NO,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
134,527.0,0.06072106261859583,84,0,13,83,23.263671875,48.400638065653595,0,3,0
135,633.0,0.2480252764612954,82,1,32,75,895.84765625,93.42932017075309,10,4,0
136,376.0,0.04521276595744681,48,0,7,21,711.96484375,90.79640409737577,4,4,0
137,726.0,0.1115702479338843,79,0,12,45,1552.3916015625,87.57700599314691,12,4,2
138,414.0,0.2584541062801932,77,2,22,45,5406.5830078125,96.24725066609878,44,11,26
139,562.0,0.08362989323843416,99,0,101,77,1956.00390625,63.85372960256582,9,3,0
140,279.0,0.12903225806451613,23,1,9,31,528.27734375,88.35672402191676,5,3,0
141,628.0,0.04777070063694268,150,0,51,128,882.3388671875,92.26089218219953,61,3,0
142,321.0,0.0,41,0,50,64,111.9892578125,60.93375306295072,21,2,0
143,287.0,0.36585365853658536,101,0,7,35,2698.458984375,60.32978892032562,5,4,12
144,431.0,0.7633410672853829,82,1,113,46,5387.7119140625,93.69113780146046,44,3,0
145,550.0,0.02727272727272727,69,0,10,46,667.23046875,95.85155522770782,9,4,0
146,786.0,0.020356234096692113,45,0,42,73,1776.9677734375,95.6482003061087,59,5,0
147,458.0,0.14847161572052403,38,0,23,50,792.3759765625,85.92322092993162,25,5,0
148,1132.0,0.02120141342756184,79,0,12,24,757.935546875,72.16225200547333,5,3,2
149,298.0,0.10738255033557047,57,0,21,65,712.8466796875,95.40738812666534,35,3,0
150,288.0,0.1423611111111111,18,1,17,28,525.2900390625,76.4514395878765,15,5,0
151,562.0,0.1619217081850534,160,0,25,51,538.337890625,33.34718044908192,8,3,9
152,362.0,0.14917127071823205,94,1,16,62,8215.658203125,99.67077681551781,19,7,5
153,362.0,0.4613259668508287,89,2,131,48,2728.0654296875,82.73122372732223,38,1,18
154,304.0,0.19407894736842105,58,0,14,60,3022.93359375,97.17087860896713,20,8,0
155,567.0,0.16049382716049382,116,1,39,57,518.5439453125,86.02325095246795,10,5,0
156,500.0,0.204,67,1,23,81,32.99609375,49.141707114952055,31,7,0
157,581.0,0.13253012048192772,114,0,7,58,9434.6884765625,99.8236126014776,24,9,0
158,485.0,0.29690721649484536,89,0,31,33,1947.9580078125,79.91747167130644,16,12,0
159,297.0,0.18518518518518517,28,0,3,25,356.419921875,95.87778855480117,9,4,1
160,1234.0,0.08184764991896272,72,0,33,51,2602.96875,93.51217810192689,28,20,14
161,121.0,0.06611570247933884,12,0,9,4,71.9833984375,86.99787006009957,3,3,1
162,492.0,0.18089430894308944,59,0,24,49,1871.21484375,96.0702438881826,29,3,0
163,382.0,2.856020942408377,35,4,21,59,1795.9794921875,90.59308361830325,43,4,0
164,553.0,0.2549728752260398,118,0,18,122,1104.4453125,88.29782342663526,15,5,0
165,382.0,0.19633507853403143,28,0,18,91,758.9638671875,92.50597352733412,9,8,0
166,612.0,0.09803921568627451,48,0,20,84,2391.193359375,92.11286369008675,32,3,0
167,787.0,0.01397712833545108,63,0,19,43,403.2890625,57.70277600201469,9,7,0
168,725.0,0.13379310344827586,193,0,9,123,873.796875,85.42616633585466,47,6,0
169,501.0,0.08383233532934131,46,2,65,20,3268.322265625,95.77224194609596,23,8,0
170,219.0,0.1187214611872146,37,2,29,68,4014.947265625,94.14604507667393,23,4,0
171,581.0,0.2082616179001721,110,0,148,95,2244.859375,74.0423432703886,15,8,1
172,376.0,0.05053191489361702,18,0,15,31,175.4208984375,62.29548351899171,0,2,0
173,237.0,0.20253164556962025,32,0,16,51,429.3173828125,77.24972191956253,17,3,0
174,360.0,0.11944444444444445,50,0,8,42,507.546875,83.84116306991349,21,5,0
175,2555.0,0.059882583170254404,125,0,541,42,2012.9775390625,89.90107646234954,17,2,0
176,278.0,0.050359712230215826,42,0,2,63,982.4755859375,90.63013453538822,30,4,1
177,657.0,0.1263318112633181,121,0,12,92,2169.751953125,96.92793225032023,101,5,1
178,245.0,0.7714285714285715,35,1,27,46,8535.1337890625,86.80183025653271,50,4,12
179,369.0,0.4254742547425474,81,0,17,57,975.9208984375,83.14002299510778,29,6,13
180,444.0,0.22522522522522523,63,0,22,30,1345.986328125,96.18534560941457,24,2,0
181,598.0,0.05351170568561873,112,0,33,48,1675.1318359375,83.3603931593537,22,3,2
182,359.0,0.08913649025069638,71,0,34,27,172.5,84.4723731884058,4,4,5
183,478.0,0.1506276150627615,60,0,9,46,1402.2373046875,90.22042759513083,38,6,0
184,280.0,0.25,17,0,0,61,732.0517578125,72.90897666954368,12,4,16
185,217.0,0.07373271889400922,23,0,15,15,2585.646484375,99.01680778274897,17,4,0
186,1129.0,0.05934455270150576,124,4,11,77,2527.0556640625,85.69979962940134,43,5,0
187,394.0,0.21573604060913706,257,0,35,52,1008.3857421875,35.92859487868819,12,9,16
188,217.0,0.12903225806451613,55,0,10,35,430.0126953125,68.06666772647065,2,4,1
189,1103.0,0.050770625566636446,194,0,35,94,674.6708984375,78.98266371190815,11,2,1
190,414.0,0.16908212560386474,84,1,12,86,790.958984375,93.3063108222564,19,4,0
191,337.0,0.1543026706231454,86,0,21,66,1512.6162109375,99.15689587383201,23,3,0
192,731.0,0.08618331053351573,140,0,13,55,376.33984375,86.29194648287888,27,3,0
193,472.0,0.0,49,0,57,25,151.9345703125,95.12086951491506,32,2,0
194,880.0,0.4863636363636364,153,1,17,101,790.546875,79.97517047139046,73,8,7
195,615.0,0.45365853658536587,77,0,11,77,2504.310546875,92.23300137965242,52,12,23
196,376.0,0.05319148936170213,80,0,17,45,145.4541015625,96.53429118130853,10,1,1
197,304.0,0.21052631578947367,56,0,16,31,648.9267578125,71.89214162205926,2,6,7
198,282.0,0.0,32,0,3,63,1675.8603515625,97.26347416001926,29,9,1
199,732.0,0.9562841530054644,75,0,2,53,255.0673828125,28.48665142865894,44,5,0
200,354.0,0.2457627118644068,67,0,12,30,1032.134765625,83.99129156235276,11,4,0
201,407.0,0.10565110565110565,69,0,9,60,392.9267578125,3.150187520038175,10,5,10
202,329.0,0.5592705167173252,84,0,1,26,1864.720703125,94.56525723838084,5,4,0
203,399.0,0.21553884711779447,74,0,10,35,1091.5302734375,93.93384967885719,11,5,0
204,243.0,1.8724279835390947,86,2,181,73,1462.8974609375,98.17063605176745,30,3,14
205,602.0,0.1611295681063123,169,0,3,100,224.0966796875,86.61684279333261,21,3,3
206,498.0,0.018072289156626505,56,0,8,44,570.416015625,86.27817553663205,16,4,0
207,308.0,0.02922077922077922,38,1,8,30,1064.5712890625,93.9287473592381,15,6,0
208,247.0,0.008097165991902834,38,0,0,47,2441.736328125,92.5010938521112,26,4,1
209,1068.0,0.042134831460674156,173,1,91,41,920.431640625,63.4443546145342,17,2,0
210,616.0,0.22402597402597402,85,3,16,37,3593.783203125,95.38795022002515,32,4,0
211,570.0,0.09824561403508772,240,0,11,16,12215.537109375,95.85192238048528,37,2,1
212,1024.0,0.2177734375,62,1,139,152,3638.810546875,89.21949297691822,69,5,0
213,922.0,0.07809110629067245,234,0,16,115,2437.568359375,95.4256891833963,16,5,0
214,239.0,0.08368200836820083,50,0,4,16,2308.0625,95.47776645725581,5,3,1
215,449.0,0.16258351893095768,64,0,9,54,465.328125,69.97645310768611,13,5,10
216,253.0,0.2015810276679842,110,1,9,35,2065.9326171875,86.11014339297996,15,9,81
217,525.0,0.20952380952380953,78,1,64,56,948.5517578125,83.18880447886735,19,5,0
218,225.0,0.06222222222222222,30,1,61,44,337.0751953125,97.54668057305926,6,3,0
219,225.0,0.06222222222222222,30,1,61,44,8.5390625,3.0420860018298264,6,3,0
220,730.0,0.2821917808219178,181,1,44,102,1634.0986328125,81.0413089689521,31,5,0
221,271.0,0.15867158671586715,60,1,9,34,1164.369140625,57.706694712969906,7,6,8
222,446.0,0.013452914798206279,85,2,375,53,3123.072265625,96.40528250864752,51,3,0
223,748.0,0.12967914438502673,170,0,23,78,1069.6083984375,79.82377092959877,8,9,0
224,623.0,0.07062600321027288,92,0,3,83,4605.044921875,94.41765845287713,117,5,0
225,145.0,0.0,12,0,6,30,627.83203125,95.92751594338155,10,2,0
226,624.0,0.16185897435897437,58,0,53,69,662.8720703125,85.61023363942125,17,3,0
227,525.0,0.36,32,11,70,89,3132.5771484375,89.77915734941435,17,3,0
228,663.0,0.20211161387631976,116,0,40,73,853.38671875,87.61769512100226,29,8,15
229,825.0,0.12121212121212122,217,0,8,135,956.083984375,83.20705187787912,31,7,0
230,512.0,0.09765625,136,0,51,84,1380.587890625,88.4441919981439,20,4,2
231,139.0,0.03597122302158273,23,0,12,21,883.4189453125,84.21316772438402,56,5,2
232,495.0,0.45656565656565656,60,0,5,136,2229.970703125,97.75370157084113,31,8,0
233,158.0,0.17721518987341772,12,0,0,41,2374.7255859375,76.02774004726697,5,6,0
234,1347.0,0.047512991833704527,233,5,2,58,31758.5576171875,99.42222142819958,72,6,0
235,298.0,0.15100671140939598,63,1,10,35,2483.625,80.30454948663747,17,5,4
236,526.0,0.055133079847908745,249,1,56,144,517.6201171875,94.62043645515553,20,6,1
237,256.0,0.015625,27,1,91,54,1919.419921875,97.86841524182823,36,4,0
238,211.0,0.04265402843601896,27,4,9,17,2065.423828125,99.45787080247037,13,3,0
239,224.0,0.19196428571428573,20,0,8,50,508.32421875,88.7209811651336,5,5,0
240,1417.0,0.10374029640084687,201,0,48,202,1942.2978515625,96.57823142590954,41,6,20
241,309.0,0.045307443365695796,58,0,8,52,1205.859375,99.28117913832199,14,5,0
242,199.0,0.04522613065326633,34,0,13,29,4606.9208984375,95.30896428543417,32,4,0
243,591.0,0.06598984771573604,88,5,98,58,1626.77734375,92.78919691203131,45,3,2
244,654.0,0.2996941896024465,179,0,11,44,10996.4560546875,96.19048963839646,14,7,0
245,575.0,0.019130434782608695,72,0,23,174,888.3662109375,93.93000009893512,18,7,0
246,641.0,0.23868954758190328,148,1,19,38,2612.5751953125,95.42694083640684,12,7,0
247,770.0,0.02207792207792208,91,0,187,193,2041.4228515625,87.08391674962459,47,3,2
248,460.0,0.004347826086956522,83,0,2,73,562.5146484375,91.12384226105223,22,2,1
249,472.0,0.01059322033898305,52,1,50,51,1003.1708984375,81.60530038053166,49,8,0
250,371.0,0.2722371967654987,72,0,15,49,687.1875,59.53132105502501,17,3,0
251,616.0,0.17694805194805194,108,0,100,155,965.8154296875,84.5274243044707,26,3,0
252,311.0,0.1382636655948553,61,1,6,41,2055.90625,95.76349199714238,21,4,1
253,368.0,0.19021739130434784,108,0,37,58,1129.5341796875,87.60127368600337,24,5,15
254,587.0,0.013628620102214651,111,0,12,55,692.9326171875,84.73877583808626,6,3,0
255,42.0,0.47619047619047616,2,0,0,11,1244.6982421875,9.060852631983625,16,4,0
256,1389.0,0.09935205183585313,239,19,40,58,3376.3955078125,94.77837433538042,79,3,0
257,793.0,0.029003783102143757,55,0,9,46,2599.64453125,43.82153359308439,20,11,0
258,0.0,0.0,21,0,15,19,236.599609375,90.41555568396635,10,2,0
259,357.0,0.11484593837535013,60,0,14,48,1948.1640625,93.2238886772402,26,8,0
260,283.0,0.10600706713780919,89,0,28,33,4608.89453125,95.48306730277817,52,3,0
261,1134.0,0.1490299823633157,109,1,24,55,3551.6884765625,67.3854782427702,31,10,0
262,1194.0,0.254606365159129,74,3,31,149,1731.1796875,97.40445234689135,89,6,1
263,1157.0,0.8893690579083837,111,0,1,122,264.9306640625,26.959441776113295,86,7,0
264,395.0,0.16455696202531644,85,0,7,86,2151.3203125,96.01203294488487,13,7,0
265,321.0,0.056074766355140186,23,0,77,94,866.189453125,89.89388688332744,26,5,0
266,639.0,0.14397496087636932,103,0,34,57,3366.0107421875,92.58879625855323,24,5,8
267,217.0,0.055299539170506916,51,0,15,38,700.083984375,90.92129013539112,7,6,0
268,1090.0,0.14495412844036698,152,0,12,106,1566.4404296875,71.54912455152163,21,4,3
269,185.0,0.03783783783783784,36,0,6,35,33787.0615234375,7.126777536623484,11,1,10
270,46.0,0.0,3,0,8,1,11.1103515625,89.26782104245407,1,4,0
271,707.0,0.15134370579915135,23,0,27,52,6841.69140625,94.7530450084015,24,5,0
272,1025.0,0.06146341463414634,96,0,8,10,1162.81640625,73.67055673690965,4,4,4
273,326.0,0.03067484662576687,100,2,7,41,3557.8056640625,89.67326188867843,27,9,5
274,921.0,0.04560260586319218,187,3,44,86,3115.6845703125,93.58713364620348,104,6,0
275,267.0,0.0749063670411985,44,0,30,42,1102.02734375,89.31417238824751,8,8,4
276,305.0,0.04918032786885246,15,0,19,45,387.0751953125,89.09237697576728,19,6,0
277,335.0,0.1373134328358209,49,2,14,25,1118.74609375,78.30116376104665,15,3,1
278,759.0,0.09617918313570488,82,0,7,139,893.2587890625,56.49357109512768,13,6,0
279,649.0,0.04930662557781202,55,0,5,134,465.3310546875,68.97915840327052,5,4,0
280,640.0,0.0546875,53,0,6,142,411.7412109375,76.75435163641453,5,4,0
281,700.0,0.05,52,0,6,136,399.1474609375,76.10776875518378,5,4,1
282,273.0,0.0,54,0,0,44,1345.2041015625,97.04897824955408,22,4,0
283,837.0,0.0,115,0,102,49,93.3681640625,50.4042506458597,13,1,4
284,454.0,0.3568281938325991,164,0,15,20,813.1298828125,72.47326291516792,30,3,2
285,586.0,0.15017064846416384,91,1,11,91,1745.58984375,90.17798201270612,57,6,0
286,448.0,0.046875,125,1,59,103,1092.4560546875,73.36536527588441,6,5,9
287,130.0,0.7846153846153846,8,0,3,9,1417.1259765625,93.40758315720707,3,4,0
288,576.0,0.3177083333333333,146,0,179,88,1004.390625,83.31933230659138,13,6,0
289,493.0,0.359026369168357,94,0,187,81,952.1064453125,83.29700694492168,24,5,0
290,300.0,0.14,58,0,12,26,864.9814453125,92.44293760817214,10,3,0
291,0.0,0.0,0,0,0,0,44.0107421875,84.3433110701844,0,1,0
292,337.0,0.0771513353115727,27,0,12,62,1592.18359375,90.64644417675215,11,4,9
293,277.0,0.08303249097472924,92,0,2,23,3461.6611328125,87.43580983772863,1,16,13
294,873.0,0.08934707903780069,160,0,21,69,400.8232421875,88.20347770579593,19,5,0
295,602.0,0.11960132890365449,116,1,2,52,974.6435546875,78.89272420305902,34,6,0
296,512.0,0.294921875,129,0,14,43,343.3662109375,2.2715702474637878,23,5,0
297,595.0,0.1361344537815126,259,0,25,102,1913.9111328125,95.64562503667382,49,8,6
298,301.0,0.5049833887043189,49,0,7,28,903.5615234375,96.83090028932814,22,4,0
299,734.0,0.035422343324250684,79,0,15,84,270.0849609375,95.73267960385729,4,3,0
300,154.0,0.0,20,0,7,19,484.451171875,93.94026745794008,18,2,1
301,1514.0,0.09379128137384413,129,2,37,120,4993.470703125,96.9850668275017,28,6,2
302,173.0,0.005780346820809248,23,0,3,5,250.439453125,94.9483330083837,4,1,0
303,116.0,0.20689655172413793,29,1,7,23,621.3623046875,93.94177046088562,8,3,2
304,525.0,0.08952380952380952,44,0,6,85,1890.822265625,84.19266171608128,6,7,91
305,459.0,0.08278867102396514,37,0,3,89,119.65625,85.29968660224601,9,3,87
306,843.0,0.04744958481613286,52,0,19,92,36.2763671875,58.43271327428864,5,3,90
307,370.0,0.16756756756756758,53,0,19,41,2893.861328125,97.34854288138213,20,8,0
308,340.0,0.12941176470588237,71,0,0,54,797.5185546875,93.71353282092036,10,2,0
309,250.0,0.248,64,0,1,53,388.4189453125,86.89649797229856,17,3,0
310,1012.0,0.10770750988142293,185,0,22,48,145.3955078125,66.54196191691574,6,3,0
311,602.0,0.009966777408637873,88,0,29,63,663.3759765625,89.63384204552648,12,4,4
312,441.0,0.19047619047619047,107,0,11,63,109.3876953125,90.54841848713988,6,3,2
313,145.0,0.2827586206896552,26,0,2,31,64.240234375,29.293727767474387,3,2,0
314,227.0,0.2511013215859031,52,0,4,42,149.80078125,93.96203290828966,6,3,0
315,611.0,0.36333878887070375,52,0,53,88,284.0791015625,38.99730832562729,12,6,61
316,430.0,0.27906976744186046,232,0,10,47,2427.470703125,85.07541044280755,15,10,17
317,367.0,0.2970027247956403,70,0,17,54,3136.03515625,76.18811696197801,13,11,43
318,493.0,0.11561866125760649,94,0,5,92,553.1416015625,88.28866365239743,12,2,0
