p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
0.0,0.0,0.0,0.0,0.0,0.0,115.6719,98.6104,4.0,10.0,0.0,http://tenders.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,115.6719,98.6104,4.0,10.0,0.0,http://www.ceochandigarh.nic.in
0.0,0.0,0.0,0.0,0.0,0.0,117.1914,97.5484,3.0,7.0,0.0,http://www.geerfoundation.gujarat.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,126.2061,66.4565,2.0,2.0,0.0,http://www.sikkim-irrigation.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,181.7207,99.5233,2.0,11.0,0.0,http://erms.man.nic.in
0.0,0.0,0.0,0.0,0.0,0.0,181.7227,99.5228,2.0,11.0,0.0,http://chennaipost.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,181.7227,99.5228,2.0,11.0,0.0,http://www.lites.rajasthan.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,181.7695,99.4971,2.0,11.0,0.0,http://dge.tn.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,181.7695,99.4971,2.0,11.0,0.0,http://www.mmc.tn.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,230.1455,96.0258,3.0,6.0,0.0,http://apidc.gov.in
0.0,0.0,0.0,0.0,0.0,0.0,1116.1748,99.5926,1.0,9.0,0.0,http://nripunjabpolice.com
0.0,0.0,0.0,0.0,0.0,0.0,1338.9277,98.1952,8.0,1.0,0.0,http://jagannath.nic.in
0.0,0.0,0.0,0.0,0.0,2.0,57.084,90.6371,3.0,16.0,0.0,http://jmch.org.in
0.0,0.0,0.0,0.0,0.0,35.0,318.498,92.3837,15.0,7.0,0.0,http://boardmarksheet.maharashtra.gov.in
0.0,0.0,0.0,0.0,0.0,59.0,3575.2285,98.4976,50.0,15.0,3.0,http://wcd.nic.in
0.0,0.0,0.0,0.0,1.0,0.0,0.5596,0.0,0.0,1.0,0.0,http://nth.gov.in
0.0,0.0,0.0,0.0,1.0,0.0,5575.1748,99.8967,9.0,17.0,0.0,http://www.nitttrchd.ac.in
0.0,0.0,0.0,0.0,1.0,3.0,21.3418,0.0,1.0,4.0,1.0,http://www.nhdcltd.co.in
0.0,0.0,0.0,0.0,2.0,0.0,1.959,0.0,0.0,1.0,0.0,http://agcensus.nic.in
0.0,0.0,0.0,0.0,2.0,0.0,3.5508,0.0,1.0,5.0,0.0,http://www.basirhatmunicipality.in
0.0,0.0,0.0,0.0,2.0,0.0,7.5908,85.1795,3.0,1.0,0.0,http://goamuseum.gov.in
0.0,0.0,0.0,0.0,2.0,0.0,17.6885,92.061,1.0,2.0,0.0,http://www.dsci.nic.in
0.0,0.0,0.0,0.0,2.0,0.0,18.6035,91.643,1.0,1.0,0.0,http://www.salarjungmuseum.in
0.0,0.0,0.0,0.0,2.0,0.0,41.1182,91.6328,2.0,1.0,0.0,http://pbforestdevcorp.gov.in
0.0,0.0,0.0,0.0,2.0,57.0,166.7188,93.6539,9.0,10.0,0.0,http://ceoorissa.nic.in
0.0,0.0,0.0,0.0,3.0,0.0,19.2344,0.0,0.0,10.0,0.0,http://rajpension.nic.in
0.0,0.0,0.0,0.0,3.0,0.0,838.2109,99.9009,1.0,7.0,0.0,http://www.khadigujarat.in
0.0,0.0,0.0,0.0,3.0,7.0,2.7607,0.0,3.0,7.0,0.0,http://tg.nedcap.gov.in
0.0,0.0,0.0,0.0,3.0,76.0,1363.2959,97.881,95.0,21.0,2.0,http://cisf.gov.in
0.0,0.0,0.0,0.0,4.0,0.0,122.3574,98.8507,2.0,2.0,0.0,http://www.keralastatearchives.org
0.0,0.0,0.0,0.0,4.0,0.0,1977.8301,98.8419,22.0,12.0,0.0,http://wbconsumers.gov.in
0.0,0.0,0.0,0.0,5.0,0.0,81.9941,93.4935,5.0,4.0,0.0,http://www.keralasahityaakademi.org
0.0,0.0,0.0,0.0,5.0,0.0,107.6602,45.5716,2.0,14.0,0.0,http://shm.up.nic.in
0.0,0.0,0.0,0.0,6.0,0.0,16.6201,94.7764,1.0,1.0,0.0,http://www.esicsronoida.org.in
0.0,0.0,0.0,0.0,6.0,0.0,173.7461,94.2776,3.0,10.0,0.0,http://www.kalamandalam.org
0.0,0.0,0.0,0.0,6.0,0.0,221.5752,98.2512,7.0,14.0,0.0,http://annavaramdevasthanam.nic.in
0.0,0.0,0.0,0.0,7.0,34.0,1001.7871,95.5519,26.0,15.0,2.0,http://kcg.gujarat.gov.in
0.0,0.0,0.0,0.0,9.0,0.0,329.124,99.0659,9.0,18.0,0.0,http://gujaratassembly.gov.in
0.0,0.0,0.0,0.0,10.0,0.0,73.6953,95.9915,3.0,12.0,0.0,http://kv2delhicantt.org
0.0,0.0,0.0,0.0,10.0,0.0,216.8262,98.4025,5.0,10.0,0.0,http://www.tneow.gov.in
0.0,0.0,0.0,0.0,11.0,40.0,2153.3213,94.2879,15.0,9.0,1.0,http://tribal.mp.gov.in
0.0,0.0,0.0,0.0,11.0,40.0,24877.0986,98.893,26.0,12.0,21.0,http://www.rieajmer.ac.in
0.0,0.0,0.0,0.0,12.0,12.0,1439.8965,76.2204,11.0,10.0,10.0,http://hpepass.cgg.gov.in
0.0,0.0,0.0,0.0,15.0,4.0,382.5273,80.1429,23.0,5.0,0.0,http://www.mcdonline.gov.in
0.0,0.0,0.0,0.0,17.0,0.0,234.6738,98.9389,7.0,12.0,0.0,http://guj-nwrws.gujarat.gov.in
0.0,0.0,0.0,0.0,17.0,105.0,8633.3721,86.4115,128.0,12.0,146.0,http://www.gndu.ac.in
0.0,0.0,0.0,0.0,18.0,58.0,1105.3828,95.815,19.0,15.0,0.0,http://msdb.gov.in
0.0,0.0,0.0,0.0,21.0,29.0,3496.0938,92.8323,22.0,9.0,12.0,http://davanagere.nic.in
0.0,0.0,0.0,0.0,23.0,0.0,212.625,95.2009,21.0,7.0,0.0,http://kaithal.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,238.707,96.6077,22.0,9.0,0.0,http://kurukshetra.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,247.2041,97.2699,21.0,9.0,0.0,http://fatehabad.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,254.3398,96.9053,21.0,9.0,0.0,http://panchkula.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,256.8086,97.1343,21.0,10.0,0.0,http://railways.haryanapolice.gov.in
0.0,0.0,0.0,0.0,23.0,0.0,289.4014,97.2164,21.0,11.0,0.0,http://yamunanagar.haryanapolice.gov.in
